identity,ACTB,IFITM3,CD4,IFNG,B2M,umap_1,umap_2
CD4 Memory T,6,0,0,0,37,7.536692532662332,-3.0468803007193976
CD14 Mono,42,0,0,0,61,-6.178353396292746,-7.082029398162025
CD14 Mono,20,0,0,0,24,-5.396088209982931,-9.564011152465003
CD14 Mono,17,0,0,0,35,-5.61440333449465,-9.520902212340491
CD4 Naive T,7,0,0,0,19,7.265350731972635,-3.2244289476462775
CD14 Mono,44,1,0,0,69,-7.430628863211691,-6.5423117239066535
CD14 Mono,66,1,0,0,174,-6.915076342459738,-5.786616857726234
CD14 Mono,25,0,0,0,60,-6.735785570975363,-7.622391756255286
CD4 Memory T,8,0,0,0,29,5.746892365578592,-3.7691960889884406
B,12,0,0,0,35,6.515201005104959,7.403559152405602
B Activated,5,0,0,0,47,3.1270090667046904,8.1194490831307
CD14 Mono,49,0,0,0,108,-7.871076670523703,-6.954814012725013
B,1,0,0,0,48,6.343285473946512,7.899774019043786
CD4 Naive T,6,0,0,0,56,7.186074170235575,-4.666662748534339
CD14 Mono,27,1,0,0,124,-7.988769617911398,-6.345202501494544
B,15,0,0,0,87,4.199969205025614,8.14386600665365
B,0,0,0,0,42,6.8931569186486605,8.082983438294274
CD14 Mono,15,0,0,0,43,-6.062465754386007,-8.267034109313148
CD8 T,0,0,0,0,47,2.521811875466287,-0.10684851007919254
CD4 Naive T,3,0,0,0,37,8.186262520913065,-4.050564821440833
T activated,0,0,0,0,20,1.5457733002938627,-3.835707004744666
DC,93,0,0,0,143,-5.347988692160666,-4.547533090788978
CD4 Memory T,7,0,0,0,19,6.914411458138407,-3.0361779291221076
T activated,1,0,0,0,23,4.267289551857889,-3.86596089192118
Mk,37,0,0,0,75,-7.838793364401877,-7.565029676634925
T activated,3,0,0,0,23,1.800918492440164,-3.45934730358805
CD4 Naive T,3,0,0,0,39,6.998876484993875,-3.7141795713492805
CD4 Naive T,1,0,0,0,44,6.365530404213846,-4.9824996549674445
B,2,0,0,0,31,6.432803544167459,7.8016566675118035
CD4 Naive T,1,0,0,0,50,7.823076161507547,-3.8578515607901984
CD8 T,1,0,0,0,31,4.678688916329325,-1.7969335872718268
CD14 Mono,24,0,0,0,38,-6.641342249747336,-8.85080009289469
CD4 Memory T,4,0,0,0,36,6.27687445557493,-3.635877903182166
CD4 Naive T,5,0,0,0,25,7.7405571070947055,-3.860557611663001
CD16 Mono,36,5,0,0,163,-9.121478644248068,-3.3173928815909797
CD4 Naive T,3,0,0,0,33,7.314800175789774,-4.372339304167884
CD4 Memory T,8,0,0,0,47,6.280870350960672,-4.593953188140052
CD4 Naive T,10,0,0,0,38,7.202265175942362,-4.289111669737952
B Activated,2,0,0,0,44,6.429760846260965,8.286493722718102
CD14 Mono,22,0,0,0,65,-7.465169516440451,-8.226454313475745
CD4 Naive T,2,0,0,0,45,6.596782597664774,-4.606374319274085
CD14 Mono,50,9,0,0,103,-7.2364936741552945,-6.141884382445472
CD16 Mono,23,2,0,0,106,-9.151508894797384,-2.5750740129538947
CD14 Mono,25,2,0,0,72,-6.836070624228537,-6.2084727842399055
CD8 T,3,0,0,0,65,2.8962866393365263,-0.009052756805079595
CD14 Mono,7,0,0,0,108,-9.411274519797384,-7.488363321501868
CD4 Naive T,1,0,0,0,30,5.2227467623986605,-4.740452345091956
CD4 Naive T,1,0,0,0,33,6.989880952004373,-3.236399706084388
NK,1,0,0,0,42,-0.2218333008251786,1.3471649330071038
T activated,0,0,0,0,25,3.41395131028074,-3.2030151445456916
CD14 Mono,9,0,0,0,49,-6.100308028098166,-9.972603376586097
CD14 Mono,25,0,0,0,76,-6.301457014914572,-7.512775953490394
B Activated,10,0,0,0,49,3.0305439559258818,8.566925470154626
CD16 Mono,55,1,0,0,98,-8.518427458640158,-2.688785608489173
CD14 Mono,11,0,0,0,71,-8.206482497092306,-6.349175031859534
CD14 Mono,16,0,0,0,43,-5.5912228497229215,-9.624164159972327
DC,52,0,0,0,110,-5.277167883750021,-4.482249792296546
DC,47,0,0,0,71,-5.82736023985964,-5.827135141570228
CD4 Memory T,7,0,0,0,47,5.537736329201639,-3.8613846857139045
CD14 Mono,7,0,0,0,58,-5.366980639334738,-9.22738986798014
CD14 Mono,16,0,0,0,52,-7.484399882193625,-8.263906057555335
CD14 Mono,43,0,0,0,55,-6.433590498801291,-6.536145265776771
CD14 Mono,32,0,0,0,113,-7.8009558590613,-5.96488290615763
CD14 Mono,17,0,0,0,56,-6.062282648917257,-8.357688482482093
T activated,7,0,0,0,41,1.1960058537759184,-3.829603489119666
B,0,0,0,0,33,6.668473157051981,8.037257615845544
CD4 Naive T,0,0,0,0,78,7.6410979357995394,-3.8295255262443
DC,46,0,0,0,104,-4.823292818900168,-3.82431631870951
CD16 Mono,65,0,0,0,107,-8.647224036093771,-2.3212001878806525
CD8 T,4,0,0,0,35,4.728610428933084,-1.9364809352942878
CD4 Naive T,4,0,0,0,33,8.17759934342283,-3.9102852899619513
Mk,3,0,0,0,34,4.4459499446191195,-6.257550771910804
CD4 Memory T,2,0,0,0,51,6.598128708962381,-3.756180341918128
CD16 Mono,18,0,0,0,53,-7.929152575369894,-3.9214790422507697
CD14 Mono,28,0,0,0,53,-6.315487948294699,-7.098324831206458
B Activated,4,0,0,0,32,3.7122258273400663,8.431594316284997
CD14 Mono,14,0,0,0,93,-6.573752013083517,-8.19239002056803
CD16 Mono,22,6,0,0,111,-9.639138785239279,3.216058675568444
B Activated,2,0,0,0,27,4.332395943764627,7.9113602083138055
CD16 Mono,55,0,1,0,113,-9.048967924948752,-3.495996769148963
CD4 Naive T,2,0,0,0,23,7.838918599251688,-2.5003643590995246
CD16 Mono,17,8,0,0,89,-9.051135626669943,-2.4371812898703986
CD14 Mono,12,0,0,0,27,-5.865135279532492,-8.983524854857581
CD14 Mono,42,0,0,0,35,-7.377400008078634,-6.192426737029212
CD4 Memory T,8,0,0,0,36,4.183597478035868,-1.2735187370368415
CD14 Mono,3,0,0,0,44,-4.687084761496603,-10.019218023497718
CD14 Mono,18,0,0,0,132,-8.225893584128439,-7.085054929930823
B,3,0,0,0,29,6.315903100136698,7.621824685852868
CD4 Naive T,1,0,0,0,57,8.585612687233866,-4.060365970809119
CD4 Naive T,3,0,0,0,31,7.47100344574827,-3.0902216989585334
CD16 Mono,20,0,0,0,109,-9.174898711081564,-2.492688711363929
CD16 Mono,42,0,0,0,90,-8.724892226096213,-4.172607477385657
B Activated,5,0,0,0,71,2.803782376412332,8.696168367188317
CD14 Mono,19,0,0,0,121,-8.458842841025412,-6.129543359954017
T activated,3,0,0,0,40,3.497104319695413,-3.0823131162711555
CD14 Mono,8,0,0,0,135,-8.176028815146505,-6.483965452391761
CD4 Memory T,14,0,0,0,28,5.808132084969461,-3.3842161256858283
CD14 Mono,29,1,0,0,70,-7.131939974661886,-7.861447389800208
CD14 Mono,21,0,0,0,106,-7.964114275809347,-8.055775697905677
CD4 Naive T,0,0,0,0,43,7.562140378121317,-4.56913095303263
CD14 Mono,24,0,0,0,45,-6.444151965018332,-8.497051771361487
CD4 Memory T,9,0,0,0,39,5.375254544381082,-3.2435210306235724
NK,3,0,0,0,57,0.8675431338586211,0.7602607648781365
CD14 Mono,23,0,0,0,48,-7.117678728934347,-9.190464552123206
DC,48,0,0,0,147,-5.58357533537966,-4.721484716612952
CD14 Mono,9,0,0,0,91,-8.519479361411154,-8.652288969237464
CD14 Mono,30,0,0,0,60,-6.748079386588156,-7.634606893736976
CD14 Mono,12,0,0,0,63,-5.74169072234255,-9.596032674986976
CD8 T,4,1,0,0,107,-0.17880630963665245,1.0554483573845452
CD8 T,3,0,0,0,47,1.9907833663262724,-0.31675780900205913
CD14 Mono,17,0,0,0,94,-7.423739043112814,-9.54188018627848
CD4 Naive T,3,0,0,0,35,7.968343171242655,-3.341807659346717
NK,1,0,0,0,46,0.4584749070443511,0.9350246828011102
pDC,5,0,0,0,35,-1.4109069975576998,-1.5880917865821296
NK,2,0,0,0,74,0.4761168090142608,1.235163513939721
B,7,0,0,0,27,5.727909478310526,7.616358224671227
CD14 Mono,55,0,0,0,81,-7.5973497303686734,-6.763092573363441
CD4 Memory T,4,0,0,0,32,5.382965478066385,-3.816457088668006
CD14 Mono,21,5,0,0,77,-7.998650160666525,-4.1822701055594855
CD4 Naive T,0,0,0,0,37,8.313413056496561,-3.256306942183631
CD14 Mono,24,0,0,0,50,-7.969616499777853,-8.207841451842445
CD16 Mono,34,3,0,0,115,-9.018475142355978,-2.9101183969565803
Mk,3,0,0,0,31,6.792682084206522,-3.910854633528846
CD14 Mono,6,0,0,0,71,-6.313615408774435,-9.449210699278968
CD16 Mono,38,2,0,0,124,-9.002216902609884,-3.3558965284415656
B,9,0,0,0,25,6.400545987252176,7.635024968903405
CD4 Memory T,2,0,0,0,25,5.9763149348534945,-2.7384789545127326
Mk,14,1,0,0,67,-8.504653540488302,-8.328748281676429
B Activated,6,0,0,0,31,5.907137784127176,8.345720712464196
CD14 Mono,30,0,0,0,52,-7.940253344412863,-7.140416200835364
B,3,0,0,0,39,5.815201672676981,7.920519296448571
CD16 Mono,16,1,0,0,67,-8.310927000876486,-2.24558096714701
CD4 Memory T,2,0,0,0,20,7.377875718239725,-3.4811120588370734
CD4 Naive T,3,0,0,0,52,6.969692143563211,-4.268517549712318
CD14 Mono,27,0,0,0,85,-8.217095938559591,-5.5479574758597785
CD14 Mono,19,0,0,0,45,-6.118548003073752,-8.115023191649573
B,1,0,0,0,46,6.877304944161356,7.643314306061608
CD4 Memory T,0,0,0,0,34,5.7581800547875766,-3.390145118910926
CD4 Naive T,1,0,0,0,40,7.110544118050516,-4.302480276305335
CD14 Mono,4,1,0,0,42,6.908666524056375,-2.6830874044486457
CD4 Memory T,4,0,0,0,47,6.486664208535135,-4.6416392881461555
CD8 T,4,0,0,0,86,2.757728966835916,-0.6934719044753486
CD4 Naive T,2,0,0,0,45,8.346553238991678,-3.9627242643424445
CD4 Memory T,0,0,0,0,33,4.549850854042948,-3.2442558366843635
CD4 Naive T,5,0,0,0,53,5.854159268502176,-4.604504640776771
DC,42,0,0,0,159,-6.793718901511252,-5.551431234557288
Mk,6,0,0,0,43,4.859599503640116,-5.782840784270423
CD14 Mono,19,1,0,0,67,-7.566767302390158,-9.178553159911292
CD14 Mono,28,1,0,0,111,-8.265078154440939,-5.767189081389564
CD4 Memory T,1,0,0,0,54,5.778547200325907,-3.1850748617240363
NK,0,0,0,0,35,1.2403117743768095,0.8536023538521356
B,8,0,0,0,61,6.647060307625711,7.765405122559411
CD4 Memory T,0,0,0,0,51,5.491519364479959,-3.9513364393302375
CD4 Memory T,3,0,0,0,29,7.024294766549051,-3.4952564794608527
B,21,0,0,0,57,4.41212836182493,7.955756608765466
CD4 Memory T,4,0,0,0,38,6.051802548531473,-2.9795651990958625
T activated,0,0,0,0,45,3.6685480204858183,-3.310820396620887
CD14 Mono,16,0,0,0,49,-6.2421499165259,-8.318148191649573
CD4 Naive T,10,0,0,0,75,6.496915253762186,-2.8159342367240363
CD14 Mono,33,0,0,0,84,-8.387092200156271,-6.271441515166419
CD4 Memory T,3,0,0,0,32,4.187411698464334,-3.306726272780555
NK,3,0,0,0,70,0.8737264601029754,0.9048895280769891
CD14 Mono,18,1,0,0,108,-8.808245268698752,-5.644322450835364
CD14 Mono,19,0,0,0,67,-7.69362172209841,-5.776182230193275
CD14 Mono,41,0,0,0,74,-7.834278670188009,-6.04711585827555
B,3,0,0,0,24,6.529508980874002,8.182157937805993
CD14 Mono,57,1,0,0,133,-9.317024794455588,-6.75202947445597
B,4,0,0,0,53,6.293629082802713,7.841931764405114
CD4 Memory T,7,0,0,0,26,6.258927735451639,-2.6698232252189094
CD4 Memory T,7,0,0,0,50,5.285221013192118,-2.674702938277381
CD14 Mono,4,2,0,0,57,-4.749056425925314,-9.867159422118323
CD4 Naive T,2,1,0,0,26,6.264318856362284,-4.764878328520911
CD4 Memory T,2,0,0,0,43,3.312977227333963,-3.21187096424784
CD4 Naive T,1,0,0,0,56,7.406727227333963,-4.870247896392005
CD4 Naive T,8,0,0,0,36,6.509923848275125,-4.446802671630042
CD16 Mono,13,4,0,0,98,-9.075694647666037,-3.528875644881385
CD14 Mono,10,0,0,0,38,-6.128507223959982,-8.737238462645667
DC,32,0,0,0,91,-5.87624415480715,-5.383920248229163
CD4 Memory T,3,0,0,0,54,5.737612637642801,-3.989649351317542
CD14 Mono,4,0,0,0,33,-5.270890799399435,-10.010295446593421
CD14 Mono,26,0,0,0,56,-7.336616125937521,-7.044586713988441
CD14 Mono,10,0,0,0,59,-7.71535023772341,-8.578994329650062
T activated,1,0,0,0,17,3.0260778991021513,-3.6776004392692023
CD4 Naive T,4,0,0,0,43,7.5427798358239535,-4.655781801421302
CD4 Naive T,3,0,0,0,30,5.692149075631082,-4.808721121031898
CD14 Mono,10,0,0,0,51,-6.2515669735632535,-9.937933500487464
CD14 Mono,14,0,0,0,87,-6.249660578604757,-7.195577676970618
CD14 Mono,10,0,0,0,43,-6.896111098166525,-9.679263647277015
CD14 Mono,18,0,0,0,53,-5.971914378043234,-10.075563009459632
B,2,0,0,0,12,6.441420945290506,7.600469056885583
CD16 Mono,13,0,0,0,54,-4.571433630820334,-9.744864042479652
T activated,0,0,0,0,12,5.899148854378641,-3.6693418581077033
DC,95,0,0,0,158,-5.883928862448752,-5.0049605924674445
CD4 Memory T,5,0,0,0,70,6.130985650185526,-4.8557344038077765
CD14 Mono,25,0,0,0,45,-6.444838133688986,-8.705206449706214
CD14 Mono,16,0,1,0,126,-8.600029555197775,-7.754150922972816
CD14 Mono,18,0,0,0,43,-6.915449705954611,-8.220532949645179
CD4 Memory T,2,0,0,0,40,6.506809624794901,-2.659761245925086
CD14 Mono,22,1,0,0,77,-6.531155672904074,-7.625668581206458
B,3,0,0,0,33,7.083865555886209,7.68078941516195
CD14 Mono,33,0,0,0,108,-8.00770863616091,-8.283651884276527
CD4 Naive T,1,0,0,0,36,7.483985814217508,-3.936919744689124
CD4 Memory T,6,0,0,0,36,5.50946083939451,-2.5177410204001838
B,4,0,0,0,71,5.296886834267557,-2.24745708294596
CD4 Naive T,4,0,0,0,44,6.936797532204569,-3.6653447706290656
CD4 Memory T,4,0,0,0,19,7.1321682063378695,-4.087995346266883
B,5,0,0,0,44,5.854258450631082,8.021422807495934
DC,45,2,0,0,180,-4.8054142864905,-3.6736195642539435
CD4 Memory T,5,0,0,0,56,4.919823559884012,-3.673974807936805
NK,3,0,0,0,68,-0.5070144208632111,1.139018837731225
CD4 Naive T,2,0,0,0,39,7.7220634547509555,-4.339570100981849
CD4 Memory T,5,0,0,0,46,4.767322930458963,-2.407959993559974
DC,20,0,0,0,58,-4.924584475394308,-4.236284788329261
CD8 T,4,0,0,0,61,1.6088763800897001,0.6970115940979547
Mk,2,0,0,0,18,4.6560916034020785,-3.98872905560221
CD4 Naive T,0,0,0,0,26,8.775252732399881,-4.215397890288489
CD4 Naive T,3,0,0,0,34,7.982034119728983,-4.75044256039347
CD14 Mono,22,0,0,0,72,-8.147945013876974,-7.20264678784098
CD14 Mono,11,0,0,0,69,-5.736263838645041,-8.87618308850016
CD14 Mono,3,0,0,0,22,-5.384163943167746,-9.83095603771891
CD14 Mono,24,0,0,0,92,-7.641218272086203,-6.223815019805091
CD4 Memory T,4,0,0,0,37,5.701131257180155,-2.35229688473429
CD14 Mono,42,0,0,0,20,-6.0659705074988,-8.11885886975016
CD8 T,2,0,0,0,70,2.166134032372415,-0.8005403239318305
T activated,1,0,0,0,36,3.1826311675347685,-3.206506546218055
CD14 Mono,9,0,0,0,31,-4.943834868308127,-10.11465793438639
DC,35,0,0,0,99,-4.876970854636252,-3.8807683546134406
CD14 Mono,4,3,0,0,84,-7.036365595694601,-7.639103944975989
CD16 Mono,58,5,0,0,159,-9.07241114699465,-3.0091510374137336
CD14 Mono,17,0,0,0,135,-8.441043463584005,-7.517809446532386
CD14 Mono,19,0,0,0,68,-8.604422179099142,-7.817271764952796
CD4 Naive T,9,0,0,0,42,6.6904167262353305,-4.379370268065589
CD14 Mono,20,0,0,0,111,-8.507157889243185,-6.795367296416419
B,12,0,0,0,54,5.121469887856424,7.765867654602868
CD14 Mono,19,0,0,0,54,-5.0740767391882535,-9.311515386778968
CD16 Mono,13,6,0,0,115,-9.071298209067404,-2.65699773617472
CD14 Mono,47,0,0,0,102,-5.352011290427267,-7.832544382292884
CD4 Memory T,3,0,0,0,43,6.079152974251688,-3.4159384328910285
CD14 Mono,22,0,0,0,61,-7.220728007193625,-7.1517525274344855
CD14 Mono,21,2,0,0,119,-7.535837260123312,-7.404663618285316
DC,45,0,0,0,211,-4.7147041233740445,-3.6737135011741096
CD14 Mono,12,2,0,0,91,-6.4438420208655,-6.457430418212073
CD4 Naive T,1,0,0,0,29,5.561933430794657,-3.6295219022818976
CD4 Naive T,0,0,0,0,45,7.104944619301737,-4.745776231963294
CD14 Mono,16,1,0,0,71,-7.924490538474142,-4.648253496367591
CD4 Memory T,3,0,0,0,31,5.580146702889383,-2.4190161783286506
CD4 Naive T,2,0,0,0,47,7.713918599251688,-3.215378339965003
NK,1,0,0,0,81,1.5504775372781157,0.5906208198479241
B Activated,6,0,0,0,29,5.265241059426248,8.461379472534997
CD14 Mono,17,0,0,0,86,-8.732979384299338,-8.069734628874915
CD14 Mono,9,0,0,0,31,-5.515862551566183,-9.87422710247721
CD14 Mono,25,0,0,0,57,-7.1649790676794645,-8.69945960827555
CD8 T,0,0,0,0,36,3.8964604464806913,-3.561606939513343
NK,7,1,0,0,50,0.9387423125542999,0.8648642342499322
CD4 Naive T,1,1,0,0,33,7.340726288918436,-3.781526144225257
CD14 Mono,14,0,0,0,43,-7.326356497641623,-9.604291494567054
T activated,0,0,0,0,7,6.195793542031229,-2.297926004607337
B,5,0,0,0,63,6.309377583626688,7.978643838684899
T activated,3,0,0,0,34,3.104439171914041,-3.5515652257987433
